,0,1,2,3,4,5,6,7,8,9,10
0,11,2,1,0,2.4181251525878906,1,16968,NULL,2.428654193878174,2.4113759994506836,2.4181251525878906
1,11,2,1,1,1.5930440425872803,1,11142,2,1.602736234664917,1.590768814086914,1.5930440425872803
2,11,2,1,2,1.819568157196045,1,10835,2,1.8204081058502197,1.819568157196045,1.814917802810669
3,11,2,1,3,0.12090897560119629,1,1,2,0.12112689018249512,0.11994576454162598,0.12090897560119629
4,11,2,2,0,3.52541184425354,5,24811,NULL,3.5356459617614746,3.52541184425354,3.5177810192108154
5,11,2,2,1,1.5452640056610107,5,10846,6,1.5351710319519043,1.5452640056610107,1.5567879676818848
6,11,2,2,2,1.7792291641235352,5,10627,6,1.7792291641235352,1.7848870754241943,1.7733478546142578
7,11,2,2,3,0.1152503490447998,5,5,6,0.11543607711791992,0.11512899398803711,0.1152503490447998
8,11,2,3,0,8.152782201766968,51,57407,NULL,8.14155387878418,8.168632984161377,8.152782201766968
9,11,2,3,1,5.231081008911133,51,36555,10,5.210703134536743,5.267788648605347,5.231081008911133
10,11,2,3,2,5.989882230758667,51,35401,10,5.9768311977386475,6.080503940582275,5.989882230758667
11,11,2,3,3,0.38565874099731445,51,51,10,0.38565874099731445,0.38514113426208496,0.3935379981994629
12,11,2,4,0,3.145801067352295,1,20384,NULL,3.145801067352295,3.1533279418945312,3.1409380435943604
13,11,2,4,1,1.6600871086120605,1,10778,9,1.6655001640319824,1.6558780670166016,1.6600871086120605
14,11,2,4,2,1.628420114517212,1,8862,9,1.6285419464111328,1.628420114517212,1.6257600784301758
15,11,2,4,3,0.0705108642578125,1,1,9,0.0705108642578125,0.07034707069396973,0.0705270767211914
16,11,2,5,0,6.4108428955078125,240,46270,NULL,6.421108961105347,6.404104948043823,6.4108428955078125
17,11,2,5,1,4.199358940124512,240,30361,5,4.199358940124512,4.197912931442261,4.2112603187561035
18,11,2,5,2,4.844320774078369,240,30361,5,4.844320774078369,4.836892127990723,4.916048049926758
19,11,2,5,3,0.32251501083374023,240,240,5,0.32305383682250977,0.32251501083374023,0.3214731216430664
20,11,3,1,0,1.8660719394683838,3,12170,NULL,1.8674039840698242,1.8660719394683838,1.8629589080810547
21,11,3,1,1,0.650738000869751,3,4242,2,0.650738000869751,0.6508419513702393,0.6498870849609375
22,11,3,1,2,0.22191286087036133,3,1236,2,0.2233409881591797,0.22191286087036133,0.22188186645507812
23,11,3,1,3,0.03152894973754883,3,3,2,0.03135371208190918,0.03164219856262207,0.03152894973754883
24,11,3,2,0,1.1796069145202637,3,7492,NULL,1.1796069145202637,1.1779119968414307,1.1817538738250732
25,11,3,2,1,0.551581859588623,3,3491,10,0.552513837814331,0.551581859588623,0.5505199432373047
26,11,3,2,2,0.27931714057922363,3,1413,10,0.2801070213317871,0.27931714057922363,0.27860093116760254
27,11,3,2,3,0.054534912109375,3,3,10,0.05460500717163086,0.054534912109375,0.05449700355529785
28,11,3,3,0,2.5337929725646973,3,16444,NULL,2.546797037124634,2.5337929725646973,2.4958839416503906
29,11,3,3,1,1.311406135559082,3,8650,4,1.3108069896697998,1.311814308166504,1.311406135559082
30,11,3,3,2,0.2258291244506836,3,1242,4,0.22652387619018555,0.2258291244506836,0.22568893432617188
31,11,3,3,3,0.11547613143920898,3,3,4,0.1157078742980957,0.11449289321899414,0.11547613143920898
32,11,3,4,0,1.9497699737548828,24,13250,NULL,1.9472270011901855,1.9560906887054443,1.9497699737548828
33,11,3,4,1,0.888983964920044,24,5892,8,0.888983964920044,0.8926510810852051,0.882390022277832
34,11,3,4,2,0.9641790390014648,24,5297,8,0.9650101661682129,0.9626917839050293,0.9641790390014648
35,11,3,4,3,0.08115887641906738,24,24,8,0.08156704902648926,0.08069014549255371,0.08115887641906738
36,11,3,5,0,2.8290607929229736,1,18023,NULL,2.8290607929229736,2.8315000534057617,2.820543050765991
37,11,3,5,1,0.7569363117218018,1,4858,2,0.7573838233947754,0.7569363117218018,0.75323486328125
38,11,3,5,2,0.47714996337890625,1,2583,2,0.47481489181518555,0.4794633388519287,0.47714996337890625
39,11,3,5,3,0.03589200973510742,1,1,2,0.03616690635681152,0.03589200973510742,0.03586602210998535
40,11,4,1,0,1.5997891426086426,2,10600,NULL,1.6030678749084473,1.5997891426086426,1.5971438884735107
41,11,4,1,1,0.480388879776001,2,3162,3,0.4806997776031494,0.480388879776001,0.4777357578277588
42,11,4,1,2,0.554426908493042,2,2963,3,0.554426908493042,0.5550289154052734,0.5534319877624512
43,11,4,1,3,0.03317093849182129,2,2,3,0.03317093849182129,0.03324317932128906,0.03307795524597168
44,11,4,2,0,12.637078046798706,2,80424,NULL,12.624675750732422,12.637078046798706,12.825172901153564
45,11,4,2,1,5.16097617149353,2,32400,0,5.16097617149353,5.174186944961548,5.115701913833618
46,11,4,2,2,3.449726104736328,2,18500,0,3.449726104736328,3.4353280067443848,3.4642608165740967
47,11,4,2,3,0.4421360492706299,2,2,0,0.44223999977111816,0.4421360492706299,0.4417288303375244
48,11,4,3,0,2.507774829864502,20,16878,NULL,2.507774829864502,2.510880947113037,2.486854076385498
49,11,4,3,1,0.764927864074707,20,5188,3,0.7649831771850586,0.764927864074707,0.7631051540374756
50,11,4,3,2,0.9155399799346924,20,5188,3,0.9188158512115479,0.9155399799346924,0.9151079654693604
51,11,4,3,3,0.0928797721862793,20,20,3,0.0930790901184082,0.0928797721862793,0.09255337715148926
52,11,4,4,0,5.823094129562378,1,39540,NULL,5.823094129562378,5.8216328620910645,5.836046934127808
53,11,4,4,1,2.0767481327056885,1,14012,3,2.0767481327056885,2.076092004776001,2.0772929191589355
54,11,4,4,2,2.176771640777588,1,12376,3,2.177903175354004,2.176771640777588,2.1640520095825195
55,11,4,4,3,0.1913759708404541,1,1,3,0.19242000579833984,0.19083595275878906,0.1913759708404541
56,11,4,5,0,2.712076187133789,4,18180,NULL,2.71225905418396,2.705078125,2.712076187133789
57,11,4,5,1,0.8509349822998047,4,5700,1,0.8509349822998047,0.8484258651733398,0.852733850479126
58,11,4,5,2,0.9726929664611816,4,5354,1,0.9712748527526855,0.9736840724945068,0.9726929664611816
59,11,4,5,3,0.05352592468261719,4,4,1,0.05357027053833008,0.05352592468261719,0.05351114273071289
60,11,5,1,0,4.562854051589966,9,29882,NULL,4.57549524307251,4.562854051589966,4.559527158737183
61,11,5,1,1,0.9998719692230225,9,6552,4,0.9988539218902588,1.0007359981536865,0.9998719692230225
62,11,5,1,2,0.7751941680908203,9,4104,4,0.7751941680908203,0.777252197265625,0.7750511169433594
63,11,5,1,3,0.07558107376098633,9,9,4,0.07558107376098633,0.07531309127807617,0.07572102546691895
64,11,5,2,0,3.6392059326171875,18,23980,NULL,3.6116411685943604,3.6392059326171875,3.643256902694702
65,11,5,2,1,0.7970361709594727,18,5204,4,0.7970361709594727,0.797313928604126,0.7963449954986572
66,11,5,2,2,0.6571502685546875,18,3532,4,0.6579320430755615,0.6547739505767822,0.6571502685546875
67,11,5,2,3,0.069580078125,18,18,4,0.07018709182739258,0.06957173347473145,0.069580078125
68,11,5,3,0,3.1854469776153564,1,20364,NULL,3.1664767265319824,3.1854469776153564,3.1860787868499756
69,11,5,3,1,0.5451970100402832,1,3488,3,0.5483088493347168,0.5451970100402832,0.5422589778900146
70,11,5,3,2,0.18512892723083496,1,984,3,0.18455290794372559,0.186417818069458,0.18512892723083496
71,11,5,3,3,0.02198171615600586,1,1,3,0.02198171615600586,0.022148847579956055,0.021860837936401367
72,11,5,4,0,5.7327821254730225,1,36368,NULL,5.744662046432495,5.7327821254730225,5.71836519241333
73,11,5,4,1,1.0798180103302002,1,6868,6,1.0798180103302002,1.0816466808319092,1.0779831409454346
74,11,5,4,2,0.5720870494842529,1,3106,6,0.575753927230835,0.5720870494842529,0.5719020366668701
75,11,5,4,3,0.07071900367736816,1,1,6,0.07113194465637207,0.07071900367736816,0.07047796249389648
76,11,5,5,0,26.621997117996216,28,173350,NULL,26.621997117996216,26.753972053527832,26.591639041900635
77,11,5,5,1,7.646322250366211,28,50067,6,7.646322250366211,7.61052393913269,7.742769002914429
78,11,5,5,2,6.601516008377075,28,35620,6,6.719884157180786,6.601516008377075,6.587735891342163
79,11,5,5,3,0.6472439765930176,28,28,6,0.6465442180633545,0.6472439765930176,0.6486010551452637
80,11,6,1,0,9.456525802612305,4,59826,NULL,9.456525802612305,9.46100401878357,9.398163080215454
81,11,6,1,1,1.4944932460784912,4,9350,4,1.4944932460784912,1.4954519271850586,1.4853730201721191
82,11,6,1,2,0.03878927230834961,4,214,4,0.038861989974975586,0.03878927230834961,0.038651227951049805
