,0,1,2,3,4,5,6,7,8,9,10
0,10,2,1,0,2.142146110534668,1,15615,NULL,2.158987045288086,2.142146110534668,2.1330411434173584
1,10,2,1,1,1.4518821239471436,1,10588,6,1.452385663986206,1.4518821239471436,1.4511001110076904
2,10,2,1,2,0.00020194053649902344,1,1,6,0.00041604042053222656,0.00020194053649902344,0.00019598007202148438
3,10,2,1,3,0.051811933517456055,1,1,6,0.051924943923950195,0.051811933517456055,0.05163979530334473
4,10,2,2,0,0.2762320041656494,1,1952,NULL,0.27370595932006836,0.2762320041656494,0.2772190570831299
5,10,2,2,1,0.13782501220703125,1,976,4,0.13782501220703125,0.13762426376342773,0.13805603981018066
6,10,2,2,2,0.00019693374633789062,1,1,4,0.0002200603485107422,0.00019693374633789062,0.00019311904907226562
7,10,2,2,3,0.013434171676635742,1,1,4,0.013497114181518555,0.013434171676635742,0.013417959213256836
8,10,3,1,0,0.8954308032989502,1,6546,NULL,0.8982069492340088,0.8940811157226562,0.8954308032989502
9,10,3,1,1,0.27834296226501465,1,2035,2,0.27887582778930664,0.27802419662475586,0.27834296226501465
10,10,3,1,2,0.00019598007202148438,1,1,2,0.00021600723266601562,0.00019598007202148438,0.0001919269561767578
11,10,3,1,3,0.020947933197021484,1,1,2,0.020976781845092773,0.020921707153320312,0.020947933197021484
12,10,3,2,0,0.14789390563964844,1,1032,NULL,0.14720797538757324,0.14789390563964844,0.14947986602783203
13,10,3,2,1,0.04955911636352539,1,344,3,0.04974079132080078,0.04955911636352539,0.049423933029174805
14,10,3,2,2,0.00019812583923339844,1,1,3,0.00021910667419433594,0.00019812583923339844,0.00019311904907226562
15,10,3,2,3,0.005642890930175781,1,1,3,0.0056531429290771484,0.005642890930175781,0.005609035491943359
16,10,3,3,0,0.41417694091796875,1,2874,NULL,0.412769079208374,0.4149796962738037,0.41417694091796875
17,10,3,3,1,0.1584019660949707,1,1106,5,0.1584019660949707,0.15854692459106445,0.15839719772338867
18,10,3,3,2,0.00019979476928710938,1,1,5,0.00022101402282714844,0.00019979476928710938,0.00019288063049316406
19,10,3,3,3,0.014788150787353516,1,1,5,0.014829158782958984,0.014788150787353516,0.014767169952392578
20,10,3,4,0,0.8993079662322998,1,6572,NULL,0.8991620540618896,0.8993079662322998,0.9030070304870605
21,10,3,4,1,0.42773914337158203,1,3109,9,0.42920589447021484,0.42773914337158203,0.42708873748779297
22,10,3,4,2,0.00019693374633789062,1,1,9,0.00022411346435546875,0.00019693374633789062,0.00019407272338867188
23,10,3,4,3,0.0135040283203125,1,1,9,0.0135040283203125,0.013495206832885742,0.01352691650390625
24,10,3,5,0,0.3251640796661377,1,2268,NULL,0.32465291023254395,0.3252389430999756,0.3251640796661377
25,10,3,5,1,0.13470792770385742,1,938,1,0.13478398323059082,0.13424372673034668,0.13470792770385742
26,10,3,5,2,0.0002009868621826172,1,1,1,0.0002181529998779297,0.0002009868621826172,0.00019407272338867188
27,10,3,5,3,0.009297847747802734,1,1,1,0.009297847747802734,0.009313821792602539,0.009253978729248047
28,10,4,1,0,0.862109899520874,1,5724,NULL,0.862109899520874,0.8587088584899902,0.8637802600860596
29,10,4,1,1,0.19669198989868164,1,1308,0,0.19669198989868164,0.196915864944458,0.19578909873962402
30,10,4,1,2,0.00019693374633789062,1,1,0,0.00022411346435546875,0.00019693374633789062,0.00019407272338867188
31,10,4,1,3,0.0026602745056152344,1,1,0,0.002688884735107422,0.002643108367919922,0.0026602745056152344
32,10,4,2,0,0.2611541748046875,1,1766,NULL,0.26081418991088867,0.2617218494415283,0.2611541748046875
33,10,4,2,1,0.07026100158691406,1,474,8,0.07077193260192871,0.07026100158691406,0.07006120681762695
34,10,4,2,2,0.00020885467529296875,1,1,8,0.0002167224884033203,0.00019598007202148438,0.00020885467529296875
35,10,4,2,3,0.0031731128692626953,1,1,8,0.0031960010528564453,0.0031652450561523438,0.0031731128692626953
36,10,4,3,0,1.3125560283660889,1,9012,NULL,1.311554193496704,1.3125560283660889,1.3139958381652832
37,10,4,3,1,0.44408082962036133,1,3036,0,0.4426729679107666,0.44408082962036133,0.4467439651489258
38,10,4,3,2,0.0002040863037109375,1,1,0,0.0002281665802001953,0.0002040863037109375,0.0002009868621826172
39,10,4,3,3,0.010289907455444336,1,1,0,0.010289907455444336,0.010117292404174805,0.010313034057617188
40,10,4,4,0,0.5922420024871826,1,4160,NULL,0.5917630195617676,0.5922420024871826,0.5938491821289062
41,10,4,4,1,0.1262669563293457,1,884,0,0.12651991844177246,0.12607502937316895,0.1262669563293457
42,10,4,4,2,0.00019598007202148438,1,1,0,0.00021696090698242188,0.00019598007202148438,0.00019311904907226562
