,0,1,2,3,4,5,6,7,8,9
0,10,1,1,1,1.4263670444488525,3,10670,1.4276182651519775,1.4263670444488525,1.422668695449829
1,10,1,1,2,1.4280028343200684,3,10670,1.430896282196045,1.4280028343200684,1.4236609935760498
2,10,1,1,3,1.4506618976593018,3,10502,1.4503059387207031,1.4511549472808838,1.4506618976593018
3,10,1,2,1,0.6448490619659424,2,4639,0.6448490619659424,0.643165111541748,0.6459357738494873
4,10,1,2,2,0.6446518898010254,2,4639,0.647212028503418,0.6444900035858154,0.6446518898010254
5,10,1,2,3,0.5797011852264404,2,3992,0.5803329944610596,0.5797011852264404,0.57790207862854
6,10,1,3,1,0.5166447162628174,1,3579,0.5146698951721191,0.5166447162628174,0.5167109966278076
7,10,1,3,2,0.5186769962310791,1,3579,0.517719030380249,0.5186769962310791,0.5190026760101318
8,10,1,3,3,0.26030421257019043,1,1625,0.26030421257019043,0.25862598419189453,0.2603299617767334
9,10,1,4,1,0.21585583686828613,2,1733,0.21615910530090332,0.21585583686828613,0.21532201766967773
10,10,1,4,2,0.21726393699645996,2,1733,0.21673011779785156,0.2175443172454834,0.21726393699645996
11,10,1,4,3,0.22143077850341797,2,1718,0.22143077850341797,0.22167110443115234,0.22077417373657227
12,10,1,5,1,1.532846212387085,1,11244,1.5295417308807373,1.532846212387085,1.5331711769104004
13,10,1,5,2,1.5309839248657227,1,11244,1.5309839248657227,1.5349669456481934,1.5287859439849854
14,10,1,5,3,1.502476692199707,1,10658,1.500783920288086,1.502476692199707,1.5146970748901367
15,10,2,1,1,0.8599188327789307,4,6554,0.8637070655822754,0.8590030670166016,0.8599188327789307
16,10,2,1,2,0.3735668659210205,4,2832,0.3722240924835205,0.374194860458374,0.3735668659210205
17,10,2,1,3,0.2002429962158203,4,1495,0.20001697540283203,0.20185017585754395,0.2002429962158203
18,10,2,2,1,0.2788729667663574,7,2034,0.28024721145629883,0.2788729667663574,0.27869606018066406
19,10,2,2,2,0.12366318702697754,7,902,0.12366318702697754,0.12398195266723633,0.12355494499206543
20,10,2,2,3,0.08948302268981934,7,630,0.08948302268981934,0.08956217765808105,0.0888509750366211
21,10,2,3,1,3.159827947616577,2,22269,3.1659469604492188,3.159827947616577,3.158529043197632
22,10,2,3,2,1.9386789798736572,2,13648,1.942500114440918,1.932142734527588,1.9386789798736572
23,10,2,3,3,1.0272250175476074,2,6677,1.0272250175476074,1.025486946105957,1.0275640487670898
24,10,2,4,1,0.7175748348236084,12,5157,0.7208528518676758,0.7174162864685059,0.7175748348236084
25,10,2,4,2,0.530174970626831,12,3812,0.5334861278533936,0.530174970626831,0.529548168182373
26,10,2,4,3,0.45869898796081543,12,3158,0.45934104919433594,0.456881046295166,0.45869898796081543
27,10,2,5,1,0.6033058166503906,1,4189,0.603424072265625,0.6027798652648926,0.6033058166503906
28,10,2,5,2,0.3092212677001953,1,2142,0.310528039932251,0.3092212677001953,0.3082559108734131
29,10,2,5,3,0.11182332038879395,1,709,0.11193704605102539,0.11172604560852051,0.11182332038879395
30,10,3,1,1,0.46657299995422363,2,3239,0.4674110412597656,0.46657299995422363,0.46540307998657227
31,10,3,1,2,0.22378015518188477,2,1550,0.22385096549987793,0.22378015518188477,0.22322893142700195
32,10,3,1,3,0.014995813369750977,2,96,0.014995813369750977,0.014986991882324219,0.015062093734741211
33,10,3,2,1,0.57631516456604,1,4020,0.57631516456604,0.5762832164764404,0.5766448974609375
34,10,3,2,2,0.22536230087280273,1,1572,0.22536230087280273,0.22536802291870117,0.22491121292114258
35,10,3,2,3,0.0006060600280761719,1,3,0.0006232261657714844,0.0006020069122314453,0.0006060600280761719
36,10,3,3,1,0.43850231170654297,12,3208,0.43731021881103516,0.43850231170654297,0.44112706184387207
37,10,3,3,2,0.13303184509277344,12,962,0.13359594345092773,0.13303184509277344,0.13176488876342773
38,10,3,3,3,0.021827220916748047,12,152,0.021690845489501953,0.021827220916748047,0.02195906639099121
39,10,3,4,1,0.387376070022583,4,2694,0.3884410858154297,0.3863179683685303,0.387376070022583
40,10,3,4,2,0.1500258445739746,4,1042,0.15009689331054688,0.1500258445739746,0.1497187614440918
41,10,3,4,3,0.01642584800720215,4,106,0.01642584800720215,0.01638031005859375,0.016813039779663086
42,10,3,5,1,0.4170548915863037,1,2973,0.41742396354675293,0.4169950485229492,0.4170548915863037
43,10,3,5,2,0.15613317489624023,1,1112,0.15621113777160645,0.15613317489624023,0.1555631160736084
44,10,3,5,3,0.12210297584533691,1,832,0.12243914604187012,0.12144088745117188,0.12210297584533691
45,10,4,1,1,0.723895788192749,4,5121,0.7256178855895996,0.723895788192749,0.7232530117034912
46,10,4,1,2,0.27547597885131836,4,1941,0.27547597885131836,0.27597498893737793,0.27477598190307617
47,10,4,1,3,0.1447432041168213,4,989,0.1447432041168213,0.14465594291687012,0.14481377601623535
48,10,4,2,1,0.851494312286377,48,6285,0.8506829738616943,0.851494312286377,0.8521687984466553
49,10,4,2,2,0.256350040435791,48,1888,0.256350040435791,0.2559537887573242,0.259688138961792
50,10,4,2,3,0.20691728591918945,48,1484,0.20757675170898438,0.2069098949432373,0.20691728591918945
51,10,4,3,1,0.19858789443969727,8,1279,0.1986091136932373,0.19858789443969727,0.198106050491333
52,10,4,3,2,0.05760622024536133,8,370,0.05770707130432129,0.05760622024536133,0.057286977767944336
53,10,4,3,3,0.021371126174926758,8,124,0.0213162899017334,0.02137279510498047,0.021371126174926758
54,10,4,4,1,1.099334955215454,2,7704,1.0986499786376953,1.1018192768096924,1.099334955215454
55,10,4,4,2,0.2650623321533203,2,1848,0.26548194885253906,0.2650623321533203,0.2649848461151123
56,10,4,4,3,0.004369974136352539,2,27,0.004379987716674805,0.004368782043457031,0.004369974136352539
57,10,4,5,1,0.4896430969238281,1,3272,0.4891469478607178,0.4896430969238281,0.49022698402404785
58,10,4,5,2,0.14118194580078125,1,944,0.14156603813171387,0.14115405082702637,0.14118194580078125
59,10,4,5,3,0.0066492557525634766,1,40,0.0066492557525634766,0.0067138671875,0.006635904312133789
60,10,5,1,1,0.9590027332305908,4,7054,0.9590027332305908,0.9606020450592041,0.9560940265655518
61,10,5,1,2,0.21793317794799805,4,1605,0.21793317794799805,0.21778512001037598,0.21796298027038574
62,10,5,1,3,0.17107105255126953,4,1221,0.17107105255126953,0.17035603523254395,0.17225980758666992
63,10,5,2,1,1.3954479694366455,1,10279,1.4044978618621826,1.3954479694366455,1.3950879573822021
64,10,5,2,2,0.4345088005065918,1,3180,0.4345088005065918,0.4327218532562256,0.4349372386932373
65,10,5,2,3,0.12631487846374512,1,892,0.1272900104522705,0.12631487846374512,0.1250760555267334
66,10,5,3,1,1.3589000701904297,2,8872,1.3589000701904297,1.3602252006530762,1.3581271171569824
67,10,5,3,2,0.29696202278137207,2,1940,0.29799604415893555,0.29696202278137207,0.2965869903564453
68,10,5,3,3,0.010365009307861328,2,58,0.010393857955932617,0.010337114334106445,0.010365009307861328
69,10,5,4,1,0.5549521446228027,40,4044,0.5583927631378174,0.5545499324798584,0.5549521446228027
70,10,5,4,2,0.1411588191986084,40,1028,0.1420300006866455,0.14100360870361328,0.1411588191986084
71,10,5,4,3,0.10960936546325684,40,764,0.10943794250488281,0.1102440357208252,0.10960936546325684
72,10,5,5,1,0.6069080829620361,5,4180,0.6081080436706543,0.6069080829620361,0.606205940246582
