,0,1,2,3,4,5,6,7
0,12,2,1,1,10.978928089141846,2,67350,10.978928089141846
1,12,2,1,2,6.0794618129730225,2,37191,6.0794618129730225
2,12,2,1,3,1.989961862564087,2,11310,1.989961862564087
3,12,3,1,1,18.92647385597229,1,117233,18.92647385597229
4,12,3,1,2,8.82693600654602,1,54098,8.82693600654602
5,12,3,1,3,0.15702223777770996,1,846,0.15702223777770996
6,12,3,2,1,45.617851972579956,6,281628,45.617851972579956
7,12,3,2,2,25.584224939346313,6,159024,25.584224939346313
8,12,3,2,3,2.7890679836273193,6,16702,2.7890679836273193
9,12,3,3,1,23.301735877990723,22,147052,23.301735877990723
10,12,3,3,2,11.629377841949463,22,73147,11.629377841949463
11,12,3,3,3,10.364300966262817,22,62471,10.364300966262817
12,12,3,4,1,29.578548908233643,8,189174,29.578548908233643
13,12,3,4,2,14.81743597984314,8,94114,14.81743597984314
14,12,3,4,3,5.754114866256714,8,35445,5.754114866256714
15,12,3,5,1,21.936893224716187,13,133385,21.936893224716187
16,12,3,5,2,10.36532711982727,13,62913,10.36532711982727
17,12,3,5,3,6.019191026687622,13,34477,6.019191026687622
18,12,4,1,1,16.15410304069519,2,98078,16.15410304069519
19,12,4,1,2,4.765898942947388,2,28688,4.765898942947388
20,12,4,1,3,1.2961630821228027,2,7161,1.2961630821228027
21,12,4,2,1,14.56845211982727,5,91658,14.56845211982727
22,12,4,2,2,5.284276962280273,5,33282,5.284276962280273
23,12,4,2,3,3.2640187740325928,5,19780,3.2640187740325928
24,12,4,3,1,107.26172709465027,1,647022,107.26172709465027
25,12,4,3,2,47.326419830322266,1,285888,47.326419830322266
26,12,4,3,3,8.07094931602478,1,42425,8.07094931602478
27,12,4,4,1,42.05299782752991,132,272544,42.05299782752991
28,12,4,4,2,15.864638805389404,132,102784,15.864638805389404
29,12,4,4,3,11.628431797027588,132,74144,11.628431797027588
30,12,4,5,1,17.127108097076416,15,107873,17.127108097076416
31,12,4,5,2,6.692235946655273,15,42253,6.692235946655273
32,12,4,5,3,5.214185953140259,15,31720,5.214185953140259
33,12,5,1,1,22.540114879608154,8,135300,22.540114879608154
34,12,5,1,2,5.541563987731934,8,33096,5.541563987731934
35,12,5,1,3,0.05393195152282715,8,291,0.05393195152282715
36,12,5,2,1,48.94818091392517,2,299246,48.94818091392517
37,12,5,2,2,12.356173038482666,2,75735,12.356173038482666
38,12,5,2,3,0.3167099952697754,2,1792,0.3167099952697754
39,12,5,3,1,24.144420862197876,15,146684,24.144420862197876
40,12,5,3,2,6.260270118713379,15,37970,6.260270118713379
41,12,5,3,3,0.45705223083496094,15,2580,0.45705223083496094
42,12,5,4,1,40.692259788513184,62,256986,40.692259788513184
43,12,5,4,2,12.349947929382324,62,77710,12.349947929382324
44,12,5,4,3,10.099644184112549,62,61953,10.099644184112549
45,12,5,5,1,28.379847764968872,1,155704,28.379847764968872
46,12,5,5,2,7.22910213470459,1,39504,7.22910213470459
47,12,5,5,3,0.1604900360107422,1,731,0.1604900360107422
48,12,6,1,1,175.48535084724426,3,1074316,175.48535084724426
49,12,6,1,2,39.811628103256226,3,243576,39.811628103256226
50,12,6,1,3,0.743196964263916,3,3394,0.743196964263916
51,12,6,2,1,14.766704082489014,8,94026,14.766704082489014
52,12,6,2,2,2.6176130771636963,8,16684,2.6176130771636963
53,12,6,2,3,0.10160303115844727,8,624,0.10160303115844727
54,12,6,3,1,62.7524778842926,2,395070,62.7524778842926
55,12,6,3,2,13.221869230270386,2,83084,13.221869230270386
56,12,6,3,3,5.453219175338745,2,32964,5.453219175338745
57,12,6,4,1,21.432927131652832,32,135708,21.432927131652832
58,12,6,4,2,4.260390281677246,32,26970,4.260390281677246
59,12,6,4,3,2.663661003112793,32,16259,2.663661003112793
60,12,6,5,1,56.8895308971405,1,343116,56.8895308971405
61,12,6,5,2,11.25197696685791,1,67888,11.25197696685791
62,12,6,5,3,1.2097601890563965,1,6766,1.2097601890563965
63,12,7,1,1,53.02027702331543,1,319584,53.02027702331543
64,12,7,1,2,11.280026912689209,1,67800,11.280026912689209
65,12,7,1,3,0.16712498664855957,1,707,0.16712498664855957
66,12,7,2,1,27.367527961730957,4,167076,27.367527961730957
67,12,7,2,2,3.828975200653076,4,23352,3.828975200653076
68,12,7,2,3,0.4894528388977051,4,2728,0.4894528388977051
69,12,7,3,1,118.84603309631348,1,725918,118.84603309631348
70,12,7,3,2,16.54961585998535,1,100776,16.54961585998535
71,12,7,3,3,0.02690911293029785,1,127,0.02690911293029785
72,12,7,4,1,352.6965103149414,6,2160606,352.6965103149414
73,12,7,4,2,76.80593371391296,6,471832,76.80593371391296
74,12,7,4,3,11.882044076919556,6,66064,11.882044076919556
75,12,7,5,1,32.15298891067505,8,181866,32.15298891067505
76,12,7,5,2,5.689569711685181,8,32328,5.689569711685181
77,12,7,5,3,0.273576021194458,8,1392,0.273576021194458
