,0,1,2,3,4,5,6,7
0,12,1,1,1,60.2473418712616,4,397929,60.2473418712616
1,12,1,2,1,79.02879118919373,7,500001,79.02879118919373
2,12,1,3,1,60.2715790271759,11,398557,60.2715790271759
3,12,1,4,1,18.746306896209717,17,117903,18.746306896209717
4,12,1,5,1,62.7238028049469,2,394101,62.7238028049469
5,12,2,1,1,26.650753021240234,17,167821,26.650753021240234
6,12,2,2,1,23.82289695739746,64,154068,23.82289695739746
7,12,2,3,1,122.52383375167847,98,782158,122.52383375167847
8,12,2,4,1,52.722097873687744,4,335901,52.722097873687744
9,12,2,5,1,48.62984585762024,42,315760,48.62984585762024
