,0,1,2,3,4,5,6,7,8,9
0,11,1,1,5,0.06768107414245605,9,9,0.06879377365112305,0.06768107414245605,0.06757903099060059
1,11,1,2,5,0.08570194244384766,2,2,0.08626604080200195,0.08570194244384766,0.08556580543518066
2,11,1,3,5,0.23002099990844727,27,27,0.23002099990844727,0.23007893562316895,0.22861528396606445
3,11,1,4,5,0.3271300792694092,18,18,0.32768797874450684,0.3259909152984619,0.3271300792694092
4,11,1,5,5,0.41501688957214355,3,3,0.4150731563568115,0.4133939743041992,0.41501688957214355
5,11,2,1,5,0.4445350170135498,165,165,0.4451327323913574,0.4445350170135498,0.44412899017333984
6,11,2,2,5,0.16067719459533691,9,9,0.16169977188110352,0.16067719459533691,0.1601879596710205
7,11,2,3,5,0.18061113357543945,9,9,0.18061113357543945,0.1805260181427002,0.18091177940368652
8,11,2,4,5,0.4193878173828125,3,3,0.41985106468200684,0.4193878173828125,0.4190051555633545
9,11,2,5,5,0.5017242431640625,3,3,0.5018250942230225,0.5017242431640625,0.4991438388824463
10,11,3,1,5,0.1849210262298584,2,2,0.1849210262298584,0.18475699424743652,0.18544793128967285
11,11,3,2,5,0.1642906665802002,16,16,0.164747953414917,0.16393017768859863,0.1642906665802002
12,11,3,3,5,0.19345688819885254,4,4,0.19345688819885254,0.1939992904663086,0.19334197044372559
13,11,3,4,5,0.183258056640625,4,4,0.183258056640625,0.1834559440612793,0.18297982215881348
14,11,3,5,5,0.050933837890625,12,12,0.050933837890625,0.05066394805908203,0.05098891258239746
15,11,4,1,5,0.10506176948547363,4,4,0.10506176948547363,0.10535311698913574,0.1050100326538086
16,11,4,2,5,0.5098180770874023,12,12,0.5098180770874023,0.5103402137756348,0.5090796947479248
17,11,4,3,5,0.6132721900939941,4,4,0.6132721900939941,0.6131150722503662,0.6151809692382812
18,11,4,4,5,0.3359990119934082,5,5,0.3359990119934082,0.3375060558319092,0.3357570171356201
19,11,4,5,5,0.5327470302581787,272,272,0.5328142642974854,0.5327470302581787,0.5319039821624756
20,11,5,1,5,0.14845800399780273,3,3,0.14912891387939453,0.14845800399780273,0.1484389305114746
21,11,5,2,5,0.22550296783447266,2,2,0.22539806365966797,0.22700166702270508,0.22550296783447266
22,11,5,3,5,0.08714699745178223,3,3,0.08714699745178223,0.0866849422454834,0.08743405342102051
23,11,5,4,5,0.19214487075805664,30,30,0.1926579475402832,0.19214487075805664,0.19188570976257324
24,11,5,5,5,0.15106582641601562,18,18,0.15084433555603027,0.15106582641601562,0.15225005149841309
25,11,6,1,5,0.10380697250366211,4,4,0.10380697250366211,0.1035010814666748,0.1043088436126709
26,11,6,2,5,0.10681319236755371,1,1,0.10681319236755371,0.1071920394897461,0.10655999183654785
27,11,6,3,5,0.7122440338134766,42,42,0.7087612152099609,0.7122440338134766,0.712975263595581
28,11,6,4,5,0.23898601531982422,6,6,0.240004301071167,0.23898601531982422,0.23787498474121094
29,11,6,5,5,0.6653439998626709,540,540,0.6653439998626709,0.6652650833129883,0.6676630973815918
30,11,7,1,5,0.4944782257080078,95,95,0.4944782257080078,0.4935019016265869,0.49687981605529785
31,11,7,2,5,1.052724838256836,6,6,1.0613460540771484,1.052724838256836,1.0386111736297607
32,11,7,3,5,0.505338191986084,8,8,0.5056560039520264,0.505338191986084,0.504443883895874
33,11,7,4,5,8.655349969863892,45504,45504,8.655349969863892,8.652821063995361,8.79773998260498
34,11,7,5,5,0.40219593048095703,3,3,0.40292906761169434,0.40219593048095703,0.4019298553466797
35,11,8,1,5,0.7502717971801758,4,4,0.7536880970001221,0.7502717971801758,0.7496151924133301
36,11,8,2,5,1.4571959972381592,12,12,1.4551622867584229,1.4613821506500244,1.4571959972381592
37,11,8,3,5,1.1033251285552979,5148,5148,1.1026508808135986,1.1033251285552979,1.1100411415100098
38,11,8,4,5,1.1564459800720215,45,45,1.160275936126709,1.1564459800720215,1.1556291580200195
39,11,8,5,5,1.2326622009277344,6,6,1.2326622009277344,1.2297091484069824,1.2486910820007324
40,11,9,1,5,4.259667158126831,61,61,4.311145305633545,4.25879693031311,4.259667158126831
41,11,9,2,5,0.790431022644043,36,36,0.7920970916748047,0.790431022644043,0.7888250350952148
42,11,9,3,5,9.158650159835815,36960,36960,9.158650159835815,9.156600952148438,9.260187149047852
43,11,9,4,5,13.297513961791992,74520,74520,13.374510288238525,13.285967826843262,13.297513961791992
44,11,9,5,5,0.7401449680328369,5,5,0.7395577430725098,0.7418079376220703,0.7401449680328369
45,11,10,1,5,2.4792380332946777,2,2,2.4792380332946777,2.4722506999969482,2.481909990310669
46,11,10,2,5,1.2667582035064697,2,2,1.2667498588562012,1.2679407596588135,1.2667582035064697
47,11,10,3,5,1.3359580039978027,35,35,1.3387722969055176,1.3349738121032715,1.3359580039978027
48,11,10,4,5,3.5009920597076416,1,1,3.5009920597076416,3.4965708255767822,3.504479169845581
49,11,10,5,5,1.8062708377838135,6,6,1.8037607669830322,1.8062708377838135,1.8134257793426514
