,0,1,2,3,4,5,6,7
0,11,1,1,1,0.6590569019317627,9,4699,0.6590569019317627
1,11,1,1,2,0.6601941585540771,9,4699,0.6601941585540771
2,11,1,1,3,0.6336398124694824,9,4351,0.6336398124694824
3,11,1,2,1,1.0641560554504395,2,7793,1.0641560554504395
4,11,1,2,2,1.067793369293213,2,7793,1.067793369293213
5,11,1,2,3,0.8410990238189697,2,5815,0.8410990238189697
6,11,1,3,1,3.331476926803589,27,22816,3.331476926803589
7,11,1,3,2,3.3283839225769043,27,22816,3.3283839225769043
8,11,1,3,3,3.1848931312561035,27,21468,3.1848931312561035
9,11,1,4,1,3.907021999359131,18,27861,3.907021999359131
10,11,1,4,2,3.9082722663879395,18,27861,3.9082722663879395
11,11,1,4,3,3.889721155166626,18,27055,3.889721155166626
12,11,1,5,1,6.160481929779053,3,41617,6.160481929779053
13,11,1,5,2,6.150087833404541,3,41617,6.150087833404541
14,11,1,5,3,5.992049932479858,3,38687,5.992049932479858
15,11,2,1,1,5.325945138931274,165,37377,5.325945138931274
16,11,2,1,2,5.36059308052063,165,37377,5.36059308052063
17,11,2,1,3,5.097057104110718,165,34424,5.097057104110718
18,11,2,2,1,3.2473220825195312,9,21659,3.2473220825195312
19,11,2,2,2,3.25142502784729,9,21659,3.25142502784729
20,11,2,2,3,2.3156769275665283,9,14669,2.3156769275665283
21,11,2,3,1,6.012702941894531,9,41604,6.012702941894531
22,11,2,3,2,5.998836040496826,9,41604,5.998836040496826
23,11,2,3,3,5.181729078292847,9,34998,5.181729078292847
24,11,2,4,1,5.5378313064575195,3,37992,5.5378313064575195
25,11,2,4,2,5.5349202156066895,3,37992,5.5349202156066895
26,11,2,4,3,5.443641185760498,3,36245,5.443641185760498
27,11,2,5,1,7.642669677734375,3,50662,7.642669677734375
28,11,2,5,2,7.662596940994263,3,50662,7.662596940994263
29,11,2,5,3,7.396752119064331,3,46720,7.396752119064331
30,11,3,1,1,4.04218316078186,2,25814,4.04218316078186
31,11,3,1,2,4.034724950790405,2,25814,4.034724950790405
32,11,3,1,3,0.7915642261505127,2,4540,0.7915642261505127
33,11,3,2,1,2.397219181060791,16,16328,2.397219181060791
34,11,3,2,2,2.3919949531555176,16,16328,2.3919949531555176
35,11,3,2,3,0.9279999732971191,16,6128,0.9279999732971191
36,11,3,3,1,5.915596008300781,4,36329,5.915596008300781
37,11,3,3,2,5.909343004226685,4,36329,5.909343004226685
38,11,3,3,3,0.6127738952636719,4,3386,0.6127738952636719
39,11,3,4,1,3.8127219676971436,4,24444,3.8127219676971436
40,11,3,4,2,3.806511878967285,4,24444,3.806511878967285
41,11,3,4,3,1.483415126800537,4,8708,1.483415126800537
42,11,3,5,1,0.8117029666900635,12,5336,0.8117029666900635
43,11,3,5,2,0.8125576972961426,12,5336,0.8125576972961426
44,11,3,5,3,0.42674994468688965,12,2696,0.42674994468688965
45,11,4,1,1,2.538863182067871,4,17352,2.538863182067871
46,11,4,1,2,2.5377039909362793,4,17352,2.5377039909362793
47,11,4,1,3,0.5935060977935791,4,3923,0.5935060977935791
48,11,4,2,1,5.50974702835083,12,37302,5.50974702835083
49,11,4,2,2,5.4852612018585205,12,37302,5.4852612018585205
50,11,4,2,3,3.803194999694824,12,24919,3.803194999694824
51,11,4,3,1,8.069052934646606,4,54932,8.069052934646606
52,11,4,3,2,8.079224109649658,4,54932,8.079224109649658
53,11,4,3,3,7.025085926055908,4,46441,7.025085926055908
54,11,4,4,1,5.466485977172852,5,37005,5.466485977172852
55,11,4,4,2,5.462936878204346,5,37005,5.462936878204346
56,11,4,4,3,3.611598014831543,5,23741,3.611598014831543
57,11,4,5,1,6.40530800819397,272,43593,6.40530800819397
58,11,4,5,2,6.381635665893555,272,43593,6.381635665893555
59,11,4,5,3,4.380464315414429,272,29024,4.380464315414429
60,11,5,1,1,9.417300939559937,3,59944,9.417300939559937
61,11,5,1,2,9.420208930969238,3,59944,9.420208930969238
62,11,5,1,3,0.9140141010284424,3,5316,0.9140141010284424
63,11,5,2,1,3.1333179473876953,2,20172,3.1333179473876953
64,11,5,2,2,3.1203231811523438,2,20172,3.1203231811523438
65,11,5,2,3,0.5844380855560303,2,3346,0.5844380855560303
66,11,5,3,1,1.6593701839447021,3,11040,1.6593701839447021
67,11,5,3,2,1.6577188968658447,3,11040,1.6577188968658447
68,11,5,3,3,0.37773799896240234,3,2432,0.37773799896240234
69,11,5,4,1,4.255215167999268,30,29922,4.255215167999268
70,11,5,4,2,4.2515950202941895,30,29922,4.2515950202941895
71,11,5,4,3,0.6917881965637207,30,4740,0.6917881965637207
72,11,5,5,1,3.7996532917022705,18,26826,3.7996532917022705
73,11,5,5,2,3.810244083404541,18,26826,3.810244083404541
74,11,5,5,3,1.1238548755645752,18,7684,1.1238548755645752
75,11,6,1,1,12.842654943466187,4,84542,12.842654943466187
76,11,6,1,2,12.959995985031128,4,84542,12.959995985031128
77,11,6,1,3,6.149472951889038,4,38687,6.149472951889038
78,11,6,2,1,10.435265064239502,1,64476,10.435265064239502
79,11,6,2,2,10.44433307647705,1,64476,10.44433307647705
80,11,6,2,3,0.6468710899353027,1,3316,0.6468710899353027
81,11,6,3,1,10.865267038345337,42,74472,10.865267038345337
82,11,6,3,2,10.81800103187561,42,74472,10.81800103187561
83,11,6,3,3,7.369595766067505,42,48880,7.369595766067505
84,11,6,4,1,5.259552001953125,6,35628,5.259552001953125
85,11,6,4,2,5.23512601852417,6,35628,5.23512601852417
86,11,6,4,3,1.0284080505371094,6,6727,1.0284080505371094
87,11,6,5,1,6.091098070144653,540,38280,6.091098070144653
88,11,6,5,2,6.09178900718689,540,38280,6.09178900718689
89,11,6,5,3,4.36718225479126,540,26108,4.36718225479126
90,11,7,1,1,8.2028648853302,95,57696,8.2028648853302
91,11,7,1,2,8.237575769424438,95,57696,8.237575769424438
92,11,7,1,3,5.961084842681885,95,40916,5.961084842681885
93,11,7,2,1,23.31509280204773,6,157916,23.31509280204773
94,11,7,2,2,23.178595781326294,6,157916,23.178595781326294
95,11,7,2,3,12.47971796989441,6,81700,12.47971796989441
96,11,7,3,1,10.460392951965332,8,65736,10.460392951965332
97,11,7,3,2,10.465094804763794,8,65736,10.465094804763794
98,11,7,3,3,3.2749602794647217,8,18976,3.2749602794647217
99,11,7,4,1,76.14610815048218,45504,509112,76.14610815048218
100,11,7,4,2,75.83404397964478,45504,509112,75.83404397964478
101,11,7,4,3,69.13705015182495,45504,449416,69.13705015182495
102,11,7,5,1,9.635796070098877,3,64490,9.635796070098877
103,11,7,5,2,9.613763093948364,3,64490,9.613763093948364
104,11,7,5,3,6.223062992095947,3,40096,6.223062992095947
105,11,8,1,1,25.865891218185425,4,163680,25.865891218185425
106,11,8,1,2,25.868335008621216,4,163680,25.868335008621216
107,11,8,1,3,3.7369582653045654,4,19310,3.7369582653045654
108,11,8,2,1,35.877748012542725,12,243864,35.877748012542725
109,11,8,2,2,35.85242486000061,12,243864,35.85242486000061
110,11,8,2,3,21.476606130599976,12,139416,21.476606130599976
111,11,8,3,1,49.1389377117157,5148,322560,49.1389377117157
112,11,8,3,2,49.23228907585144,5148,322560,49.23228907585144
113,11,8,3,3,24.78858494758606,5148,149532,24.78858494758606
