,0,1,2,3,4,5,6,7,8,9,10,11
0,11,,6.0,47.0,366.0,5.333333333333333,30.833333333333332,52.93451285362244,51.1645827293396,186,190,[1 1 1 1 1 1 1 1 1 1 1 1 1]
1,11,,7.0,40.0,335.0,4.7,21.0,227.915953874588,212.10705399513245,219,221,[1 1 1 1 1 1 1 1 1 1]
2,11,,6.0,37.0,324.0,1.5833333333333333,8.166666666666666,366.2616949081421,358.83891916275024,230,236,[1 1 1 1 5 5 5 5]
3,11,,6.0,45.0,360.0,5.0,29.0,65.2433009147644,60.37377405166626,190,192,[1 1 1 1 4 4 4 4]
4,11,,5.0,38.0,336.0,5.75,36.25,219.79064989089966,218.9953510761261,218,224,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0]"
5,11,,6.0,51.0,369.0,3.833333333333333,23.166666666666668,55.12371516227722,52.43206286430359,185,189,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
6,11,,7.0,39.0,341.0,3.0,10.0,169.043879032135,145.45398664474487,211,215,[1 1 1 1 1 1 2 2 2 2 2 2 2 2 2]
7,11,,6.0,49.0,362.0,5.333333333333333,27.666666666666664,74.66744494438171,56.52101230621338,188,190,[10 10 10 10 10 10]
8,11,,6.0,32.0,325.0,5.0,28.0,333.684122800827,307.84836196899414,225,229,[9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9]
9,11,,5.0,47.0,348.0,5.0,28.0,167.52651500701904,146.6575059890747,208,216,[4]
10,11,,7.0,48.0,371.0,5.75,30.5,78.32724905014038,66.88887691497803,191,199,[9 9 9]
11,11,,6.0,48.0,363.0,4.166666666666667,21.333333333333336,74.68679785728455,54.121251821517944,191,197,[5 5 8 8]
12,11,,5.0,55.0,360.0,6.833333333333333,39.5,122.37906098365784,122.17566990852356,204,220,[2 2 2]
13,11,,6.0,45.0,348.0,8.0,45.5,97.8782229423523,94.40331864356995,202,208,[4 4 4 4]
14,11,,6.0,43.0,373.0,3.8333333333333335,20.0,50.389455795288086,41.60747718811035,177,179,"[ 3  3  3  3  3  3  3  3  3  3  3  3  3  3  3 10 10 10 10 10 10 10 10 10
 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10]"
15,11,,6.0,37.0,396.0,5.75,32.25,43.17831301689148,25.899515867233276,154,164,"[4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4
 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4
 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 6 6 6 6 6 6
 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6
 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6
 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6
 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6
 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6
 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6
 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6
 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6
 6 6 6 6 6 6 6 6 6 6 6 6 6]"
16,11,,6.0,43.0,358.0,5.333333333333334,21.166666666666664,87.32995700836182,70.55234408378601,194,196,[2 2 2 2 2 2 2 2 2 8 8 8 8 8 8 8 8 8]
