,0,1,2,3,4,5,6,7,8,9,10,11
0,12,,6.0,55.0,433.0,6.333333333333334,33.83333333333333,396.8952100276947,390.5163118839264,231,243,[10 10]
1,12,,6.0,50.0,421.0,5.25,29.0,527.6118531227112,525.6951186656952,241,251,[0]
2,12,,8.0,43.0,521.0,4.833333333333334,25.166666666666668,41.20934295654297,40.63276290893555,139,143,[2 2 2 ... 7 7 7]
3,12,,5.0,51.0,417.0,5.25,36.0,592.3660159111023,592.9359459877014,245,261,[0 0 0 0 0 0 0 0 0 2 2 2]
4,12,,7.0,56.0,467.0,6.0,29.0,151.35706496238708,148.66073083877563,197,205,[0]
5,12,,7.0,55.0,440.0,6.75,46.75,452.22408509254456,311.94204115867615,224,230,[6 6]
6,12,,7.0,50.0,431.0,7.5,36.5,401.10931515693665,393.5462837219238,231,245,[6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6]
7,12,,7.0,55.0,471.0,6.333333333333333,39.166666666666664,119.03685927391052,110.73564004898071,189,191,"[2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
 2 2 2 2 2 2 2 2 2 2 2]"
8,12,,7.0,53.0,433.0,3.6666666666666665,24.5,511.00723576545715,411.2629289627075,231,239,[4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 7 7 7 7 7 7 7 7]
9,12,,7.0,52.0,444.0,6.333333333333333,33.166666666666664,318.7464301586151,305.12985491752625,216,228,[9 9 9 9 9 9 9 9 9 9]
